index,Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
2278,OR03,64087.06,7785,Info Systems App Tech 2,Police,Fulltime,Technicians,M,White,1975,2006-12-04,N,Davidson,2024,49,45-49,2006,18
2283,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1974,2006-12-16,N,Davidson,2024,50,50-54,2006,18
2284,OR08,92939.69,7234,Information Systems Advisor 1,Emergency Communications,Fulltime,Officials and administrators,F,Black,1964,2006-12-18,Y,Davidson,2024,60,60-64,2006,18
2288,OR11,129970.63,6559,Judicial Commissioner,General Sessions Court,Fulltime,Officials and administrators,M,White,1971,2007-01-01,Y,Davidson,2024,53,50-54,2007,17
2289,ST10,59443.75,7323,Librarian 2,Public Library,Fulltime,Professionals,F,Black,1986,2007-01-01,Y,Davidson,2024,38,35-39,2007,17
2290,OR05,81027.81,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,F,White,1980,2007-01-01,N,Davidson,2024,44,40-44,2007,17
2291,OR03,67426.15,4710,Probation Officer 2,Juvenile Court,Fulltime,Professionals,F,White,1978,2007-01-02,N,Davidson,2024,46,45-49,2007,17
2293,OR08,93761.86,10108,Finance Admin,State Fair Board,Fulltime,Officials and administrators,F,Black,1982,2007-01-03,Y,Davidson,2024,42,40-44,2007,17
2295,NS,55001.61,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,F,White,1986,2007-01-08,N,Davidson,2024,38,35-39,2007,17
2297,ST08,52433.92,11179,Fire Logistics & Inventory Clerk,Fire,Fulltime,Administrative support,M,White,1959,2007-01-16,N,Davidson,2024,65,65-69,2007,17
2299,OR07,104852.59,4855,Library Mgr 3,Public Library,Fulltime,Professionals,M,White,1977,2007-01-29,Y,Davidson,2024,47,45-49,2007,17
2302,TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1970,2007-01-29,N,Davidson,2024,54,50-54,2007,17
2303,OR01,51918.76,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1954,2007-01-29,N,Davidson,2024,70,70-74,2007,17
2304,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2007-02-01,N,Davidson,2024,42,40-44,2007,17
2306,PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1975,2007-02-01,N,Davidson,2024,49,45-49,2007,17
2310,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1965,2007-02-01,N,Davidson,2024,59,55-59,2007,17
2312,OR12,139272.98,10871,Assistant Metropolitan Atty 4,Law,Fulltime,Professionals,M,White,1971,2007-02-05,Y,Davidson,2024,53,50-54,2007,17
2313,ST09,65588.44,11222,DCSO SAAFE Coordinator,Sheriff,Fulltime,Administrative support,M,Black,1980,2007-02-05,N,Davidson,2024,44,40-44,2007,17
2315,OR01,59820.63,7243,Admin Svcs Officer 2,Circuit Court Clerk,Fulltime,Professionals,F,Black,1956,2007-02-26,N,Davidson,2024,68,65-69,2007,17
2316,ST11,69548.92,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
2317,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
2318,ST10,66873.03,6689,Sheriff Warrant Officer 1,Sheriff,Fulltime,Protective service workers,M,White,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
2322,TS10,61357.06,7327,Maint & Repair Supv,Parks,Fulltime,Service/Maintenance,M,Black,1972,2007-03-14,Y,Davidson,2024,52,50-54,2007,17
2324,PS07B,130907.23,956,Police Captain,Police,Fulltime,Professionals,M,White,1985,2007-03-16,Y,Davidson,2024,39,35-39,2007,17
2331,TG09,47459.75,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1962,2007-04-06,N,Davidson,2024,62,60-64,2007,17
2333,TS16,84303.05,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,Black,1984,2007-04-07,Y,Davidson,2024,40,40-44,2007,17
2334,TG14,60282.37,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1980,2007-04-07,N,Davidson,2024,44,40-44,2007,17
2335,TG14,60282.37,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1975,2007-04-07,N,Davidson,2024,49,45-49,2007,17
2336,TL11,57188.82,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,M,White,1966,2007-04-07,N,Davidson,2024,58,55-59,2007,17
2341,ST11,77729.23,10804,DCSO Instructor,Sheriff,Fulltime,Professionals,M,Black,1971,2007-04-09,N,Davidson,2024,53,50-54,2007,17
2342,ST07,53738.45,2870,Legal Secretary 1,District Attorney,Fulltime,Administrative support,F,Black,1970,2007-04-09,N,Davidson,2024,54,50-54,2007,17
2346,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1969,2007-04-16,N,Davidson,2024,55,55-59,2007,17
2352,PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1978,2007-04-16,N,Davidson,2024,46,45-49,2007,17
2354,OR03,67419.24,4710,Probation Officer 2,Juvenile Court,Fulltime,Professionals,M,Black,1972,2007-04-16,N,Davidson,2024,52,50-54,2007,17
2356,PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1984,2007-04-16,N,Davidson,2024,40,40-44,2007,17
2357,TS10,69057.91,11204,Water Services Maint Supv 1,Water Services,Fulltime,Technicians,M,Black,1980,2007-04-23,Y,Davidson,2024,44,40-44,2007,17
2364,CA08,93308.8,7271,Cvn Ctr Event Mgr Sr,Convention Center Authority,Fulltime,Professionals,F,White,1979,2007-05-23,Y,Davidson,2024,45,45-49,2007,17
2365,OR02,57214.61,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1986,2007-05-25,Y,Davidson,2024,38,35-39,2007,17
2366,PS05,92175.57,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1981,2007-06-01,N,Davidson,2024,43,40-44,2007,17
2369,OR04,69920.38,11215,Enviromental Health Specialist Sr,Health,Fulltime,Professionals,M,White,1983,2007-06-11,N,Davidson,2024,41,40-44,2007,17
2370,ST09,53816.4,451,Golf Course Asst Mgr,Parks,Fulltime,Professionals,F,Black,1987,2007-06-15,Y,Davidson,2024,37,35-39,2007,17
2372,OR07,105605.01,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1967,2007-06-18,Y,Davidson,2024,57,55-59,2007,17
2373,OR02,55463.79,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1962,2007-06-22,Y,Davidson,2024,62,60-64,2007,17
2374,CO02,65015.7,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1961,2007-06-28,N,Davidson,2024,63,60-64,2007,17
2375,OR04,69868.84,11177,Finance Officer,Health,Fulltime,Professionals,M,Black,1968,2007-06-30,N,Davidson,2024,56,55-59,2007,17
2376,OR02,67556.11,3237,Nutritionist 1,Health,Fulltime,Professionals,F,White,1959,2007-06-30,Y,Davidson,2024,65,65-69,2007,17
2381,FD06A,95359.18,10839,Fire Arson Investigator,Fire,Fulltime,Officials and administrators,M,White,1981,2007-07-01,N,Davidson,2024,43,40-44,2007,17
2383,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1980,2007-07-01,N,Davidson,2024,44,40-44,2007,17
2388,OR07,103967.72,10743,Health Manager 2,Health,Fulltime,Professionals,F,White,1976,2007-07-14,Y,Davidson,2024,48,45-49,2007,17
2389,OR01,57263.42,7379,Program Spec 2,State Fair Board,Fulltime,Professionals,M,White,1967,2007-07-15,N,Davidson,2024,57,55-59,2007,17
2391,OR06,92913.97,7778,Historic Preservationist 2,Historical Commission,Fulltime,Professionals,F,White,1976,2007-07-23,Y,Davidson,2024,48,45-49,2007,17
2393,ST08,55518.19,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1984,2007-07-30,N,Davidson,2024,40,40-44,2007,17
2400,ST07,45253.62,11213,Custodian-Health,Health,Fulltime,Service/Maintenance,F,Black,1963,2007-08-01,N,Davidson,2024,61,60-64,2007,17
2405,ST10,70587.67,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,F,White,1961,2007-08-25,N,Davidson,2024,63,60-64,2007,17
2406,ST10,65015.7,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,M,White,1982,2007-08-25,N,Davidson,2024,42,40-44,2007,17
2407,CA09,145932.8,10634,Dir Of Technology-Conv Center,Convention Center Authority,Fulltime,Officials and administrators,M,White,1979,2007-08-31,Y,Davidson,2024,45,45-49,2007,17
2413,OR05,71531.71,7245,Admin Svcs Officer 4,Law,Fulltime,Professionals,F,White,1973,2007-09-17,Y,Davidson,2024,51,50-54,2007,17
2415,OR13,151406.02,6553,Parks & Recreation Asst Dir,Parks,Fulltime,Officials and administrators,M,White,1962,2007-09-21,Y,Davidson,2024,62,60-64,2007,17
2419,PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-10-01,N,Davidson,2024,41,40-44,2007,17
2421,PS05B,97706.11,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1973,2007-10-01,N,Davidson,2024,51,50-54,2007,17
2423,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2007-10-01,N,Davidson,2024,39,35-39,2007,17
2430,OR06,79333.42,7757,Technical Specialist 2,Parks,Fulltime,Professionals,M,White,1977,2007-10-08,Y,Davidson,2024,47,45-49,2007,17
2431,OR08,106257.13,7234,Information Systems Advisor 1,Assessor of Property,Fulltime,Officials and administrators,M,White,1978,2007-10-08,Y,Davidson,2024,46,45-49,2007,17
2432,ST08,52433.92,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,White,1972,2007-10-08,N,Davidson,2024,52,50-54,2007,17
2433,ST11,65458.76,7720,Admin Spec,Historical Commission,Fulltime,Administrative support,M,White,1982,2007-10-08,N,Davidson,2024,42,40-44,2007,17
2434,MAC05A,59019.47,10217,Custodian Leader,Metro Action Commission,Fulltime,Service/Maintenance,M,Black,1953,2007-10-08,N,Davidson,2024,71,70-74,2007,17
2435,OR04,67376.14,7376,Program Mgr 1,Public Library,Fulltime,Professionals,F,Black,1975,2007-10-15,Y,Davidson,2024,49,45-49,2007,17
2437,TL09,53706.1,10972,Utility Maintenance Spec 1,Water Services,Fulltime,Technicians,M,White,1966,2007-10-20,N,Davidson,2024,58,55-59,2007,17
2438,OR10,145099.11,6531,Human Resources Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1966,2007-10-20,Y,Davidson,2024,58,55-59,2007,17
2440,OR06,77777.85,10759,Public Health Nurse 2,Health,Fulltime,Professionals,F,White,1974,2007-10-29,Y,Davidson,2024,50,50-54,2007,17
2443,ST08,60144.59,10834,Customer Service Field Rep Sen,Water Services,Fulltime,Service/Maintenance,M,Black,1972,2007-11-03,N,Davidson,2024,52,50-54,2007,17
2445,OR08,113928.75,7346,Human Resources Admin,Water Services,Fulltime,Professionals,F,Black,1978,2007-11-05,Y,Davidson,2024,46,45-49,2007,17
2446,OR07,102688.18,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1979,2007-11-05,Y,Davidson,2024,45,45-49,2007,17
2448,ST09,63906.71,6910,Mech/Gas Inspector 1,Codes Administration,Fulltime,Officials and administrators,M,White,1962,2007-11-12,N,Davidson,2024,62,60-64,2007,17
2450,NS,84804.24,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,Asian,1971,2007-11-16,N,Davidson,2024,53,50-54,2007,17
2451,OR04,66655.42,7779,Info Systems App Analyst 1,Public Library,Fulltime,Professionals,M,White,1980,2007-11-19,Y,Davidson,2024,44,40-44,2007,17
2452,OR06,78497.82,11171,Accountant Senior,Finance,Fulltime,Professionals,F,Islander,1966,2007-11-19,Y,Davidson,2024,58,55-59,2007,17
2453,ST08,50891.79,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,Black,1967,2007-11-19,N,Davidson,2024,57,55-59,2007,17
2454,ST05,43998.95,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1967,2007-11-19,N,Davidson,2024,57,55-59,2007,17
2456,ST07,50910.18,10969,Utility Field Tech 1,Water Services,Fulltime,Technicians,M,Black,1969,2007-12-01,N,Davidson,2024,55,55-59,2007,17
2457,PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-12-01,N,Davidson,2024,41,40-44,2007,17
2460,OR07,103347.52,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1976,2007-12-03,Y,Davidson,2024,48,45-49,2007,17
2461,OR12,161660.68,10871,Assistant Metropolitan Atty 4,Law,Fulltime,Professionals,F,White,1969,2007-12-12,Y,Davidson,2024,55,55-59,2007,17
2463,PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1970,2007-12-16,N,Davidson,2024,54,50-54,2007,17
2466,OR01,51918.76,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Two or more,1965,2007-12-17,N,Davidson,2024,59,55-59,2007,17
2467,OR12,167577.66,11304,Deputy Chief-DCSO,Sheriff,Fulltime,Officials and administrators,F,White,1975,2007-12-17,Y,Davidson,2024,49,45-49,2007,17
2470,ST07,50910.18,10833,Customer Service Field Rep,Water Services,Fulltime,Service/Maintenance,M,Black,1969,2007-12-29,N,Davidson,2024,55,55-59,2007,17
2474,FD03A,61978.22,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1983,2008-01-01,N,Davidson,2024,41,40-44,2008,16
2478,ST10,65015.7,11089,Sheriff Behavorial Care Supv,Sheriff,Fulltime,Protective service workers,M,White,1969,2008-01-01,N,Davidson,2024,55,55-59,2008,16
2481,ST07,52324.33,10123,Office Support Spec 1,Social Services,Fulltime,Administrative support,F,Black,1963,2008-01-02,N,Davidson,2024,61,60-64,2008,16
2492,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1962,2008-02-01,N,Davidson,2024,62,60-64,2008,16
2497,ST08,50891.79,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,M,White,1980,2008-02-11,N,Davidson,2024,44,40-44,2008,16
2498,MAC11A,82379.74,10789,Early Childhood Ctr Mgr-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1983,2008-02-11,Y,Davidson,2024,41,40-44,2008,16
2502,FD07,95663.47,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1965,2008-02-16,N,Davidson,2024,59,55-59,2008,16
2503,FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1982,2008-02-16,N,Davidson,2024,42,40-44,2008,16
2509,FD05B,92638.51,7307,Fire Engineer,Fire,Fulltime,Technicians,M,Two or more,1982,2008-02-16,N,Davidson,2024,42,40-44,2008,16
2510,FD09B,105840.37,1686,Fire District Chief,Fire,Fulltime,Professionals,M,Black,1981,2008-02-16,N,Davidson,2024,43,40-44,2008,16
2511,FD07B,92798.38,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1981,2008-02-16,N,Davidson,2024,43,40-44,2008,16
2513,FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,Black,1974,2008-02-16,N,Davidson,2024,50,50-54,2008,16
2518,FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1983,2008-02-16,N,Davidson,2024,41,40-44,2008,16
2519,OR03,64784.75,7244,Admin Svcs Officer 3,Police,Fulltime,Professionals,F,Black,1984,2008-02-16,N,Davidson,2024,40,40-44,2008,16
2520,FD07A,95663.49,7305,Fire Captain,Fire,Fulltime,Professionals,M,Two or more,1977,2008-02-16,N,Davidson,2024,47,45-49,2008,16
2526,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2008-02-19,N,Davidson,2024,41,40-44,2008,16
2532,OR09,133960.07,10744,Health Manager 3,Health,Fulltime,Officials and administrators,F,White,1955,2008-02-19,Y,Davidson,2024,69,65-69,2008,16
2533,PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1969,2008-02-19,N,Davidson,2024,55,55-59,2008,16
2536,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2008-02-19,N,Davidson,2024,40,40-44,2008,16
2538,OR04,68825.84,10470,Information Sys Media Analys 1,Information Technology Services,Fulltime,Professionals,M,White,1962,2008-02-25,N,Davidson,2024,62,60-64,2008,16
2539,OR04,75567.38,7376,Program Mgr 1,Social Services,Fulltime,Professionals,F,Black,1985,2008-02-25,Y,Davidson,2024,39,35-39,2008,16
2540,OR05,76385.35,7245,Admin Svcs Officer 4,Social Services,Fulltime,Professionals,M,White,1965,2008-02-25,Y,Davidson,2024,59,55-59,2008,16
2543,NS,62670.48,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,Black,1973,2008-03-01,N,Davidson,2024,51,50-54,2008,16
2544,OR05,86935.56,7780,Info Systems App Analyst 2,Police,Fulltime,Professionals,F,Black,1974,2008-03-01,N,Davidson,2024,50,50-54,2008,16
2549,ST09,58861.56,7241,Admin Asst,Juvenile Court,Fulltime,Administrative support,F,Black,1980,2008-03-31,N,Davidson,2024,44,40-44,2008,16
2553,JS03,85478.0,7791,Judicial Asst 2,State Trial Courts,Fulltime,Protective service workers,F,White,1968,2008-04-21,Y,Davidson,2024,56,55-59,2008,16
2558,ST11,69548.92,7040,Facility Coord,Parks,Fulltime,Professionals,M,Black,1989,2008-05-16,Y,Davidson,2024,35,35-39,2008,16
2559,ST06,49278.16,10756,Inmate Prop Clerk-DCSO,Sheriff,Fulltime,Administrative support,M,White,1984,2008-05-18,N,Davidson,2024,40,40-44,2008,16
2560,MAC01,42456.96,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1980,2008-05-19,N,Davidson,2024,44,40-44,2008,16
2562,OR08,109294.89,7295,Engineer 2,Water Services,Fulltime,Professionals,M,White,1979,2008-05-31,Y,Davidson,2024,45,45-49,2008,16
2569,PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1972,2008-06-01,N,Davidson,2024,52,50-54,2008,16
2571,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2008-06-01,N,Davidson,2024,39,35-39,2008,16
2572,PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1979,2008-06-01,N,Davidson,2024,45,45-49,2008,16
2578,OR03,59123.0,6919,Info Sys Comm Tech 2,Police,Fulltime,Technicians,M,Black,1978,2008-06-01,N,Davidson,2024,46,45-49,2008,16
2581,OR05,73570.59,7245,Admin Svcs Officer 4,NDOT,Fulltime,Professionals,F,Black,1981,2008-06-02,Y,Davidson,2024,43,40-44,2008,16
2583,OR11,155611.72,11159,DCSO Human Resources Director,Sheriff,Fulltime,Officials and administrators,M,Black,1981,2008-06-16,Y,Davidson,2024,43,40-44,2008,16
2593,OR06,87264.63,7265,Info Sys Comm Analyst 3,Police,Fulltime,Professionals,M,White,1966,2008-07-01,Y,Davidson,2024,58,55-59,2008,16
2594,OR11,146279.98,7081,Codes Admin Asst Dir,Codes Administration,Fulltime,Officials and administrators,F,White,1985,2008-07-01,Y,Davidson,2024,39,35-39,2008,16
2595,TL15,65027.88,2230,Bldg Maint Lead Mechanic,Municipal Auditorium,Fulltime,Skilled craft workers,M,White,1974,2008-07-01,N,Davidson,2024,50,50-54,2008,16
2596,MAC01,42456.96,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1987,2008-07-14,N,Davidson,2024,37,35-39,2008,16
2598,ET05,73639.07,10411,Emer Telecommunications Traine,Emergency Communications,Fulltime,Administrative support,F,White,1974,2008-07-14,N,Davidson,2024,50,50-54,2008,16
2601,OR09,97076.6,10863,Admin Svcs Division Manager,Juvenile Court,Fulltime,Officials and administrators,M,Black,1969,2008-07-28,N,Davidson,2024,55,55-59,2008,16
2604,TG12,54118.08,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,Black,1975,2008-08-04,N,Davidson,2024,49,45-49,2008,16
2606,NS,58813.08,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,M,White,1948,2008-08-06,N,Davidson,2024,76,75-79,2008,16
2608,OR05,69448.27,5495,Probation Officer 3,Juvenile Court,Fulltime,Professionals,F,Black,1981,2008-08-11,N,Davidson,2024,43,40-44,2008,16
2611,OR01,50903.49,7375,Probation Officer 1,Juvenile Court,Fulltime,Professionals,F,Black,1964,2008-08-25,N,Davidson,2024,60,60-64,2008,16
2614,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2008-09-01,N,Davidson,2024,39,35-39,2008,16
2615,OR04,68595.54,7753,Professional Spec,Police,Fulltime,Professionals,F,White,1980,2008-09-01,Y,Davidson,2024,44,40-44,2008,16
2617,PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2008-09-01,N,Davidson,2024,42,40-44,2008,16
2620,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1967,2008-09-16,N,Davidson,2024,57,55-59,2008,16
2623,NS,183900.31,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,M,Two or more,1978,2008-09-22,Y,Davidson,2024,46,45-49,2008,16
2624,ST05,41620.67,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1982,2008-09-22,N,Davidson,2024,42,40-44,2008,16
2625,ST10,63158.39,7343,Paralegal,Law,Fulltime,Paraprofessionals,F,White,1955,2008-10-01,N,Davidson,2024,69,65-69,2008,16
2631,ET04,68730.34,10410,Emer Telecommunications Off 4,Emergency Communications,Fulltime,Administrative support,F,White,1981,2008-10-06,N,Davidson,2024,43,40-44,2008,16
2635,ST05,42809.8,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,Black,1990,2008-10-06,N,Davidson,2024,34,30-34,2008,16
2638,FD07,90172.0,7305,Fire Captain,Fire,Fulltime,Professionals,M,Two or more,1965,2008-10-15,N,Davidson,2024,59,55-59,2008,16
2639,OR03,55729.1,11259,Data Compliance Technician,Human Resources,Fulltime,Professionals,F,Black,1975,2008-10-18,N,Davidson,2024,49,45-49,2008,16
2640,DP01,169404.8,11306,Community Review Board Exec Director,Community Review Board,Fulltime,Officials and administrators,F,Black,1968,2008-10-20,Y,Davidson,2024,56,55-59,2008,16
2641,OR08,89830.84,7234,Information Systems Advisor 1,Public Library,Fulltime,Officials and administrators,M,White,1973,2008-10-20,Y,Davidson,2024,51,50-54,2008,16
2642,TL17,74320.5,7787,Indust Tech Master,Water Services,Fulltime,Skilled craft workers,M,White,1968,2008-11-01,N,Davidson,2024,56,55-59,2008,16
2644,ST09,63906.71,6868,Plumbing Inspector 1,Codes Administration,Fulltime,Officials and administrators,M,White,1968,2008-11-03,N,Davidson,2024,56,55-59,2008,16
2645,MAC05A,48611.58,10231,General Maint Worker,Metro Action Commission,Fulltime,Service/Maintenance,M,White,1978,2008-11-10,N,Davidson,2024,46,45-49,2008,16
2647,OR06,81090.0,11178,Finance Officer Senior,Public Library,Fulltime,Professionals,F,White,1985,2008-11-17,N,Davidson,2024,39,35-39,2008,16
2649,MAC10D,103489.31,11290,Director of Early Education-MAC,Metro Action Commission,Fulltime,Officials and administrators,F,Black,1983,2008-12-08,Y,Davidson,2024,41,40-44,2008,16
2650,MAC01,42456.96,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1966,2008-12-15,N,Davidson,2024,58,55-59,2008,16
2656,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1978,2009-01-01,N,Davidson,2024,46,45-49,2009,15
2659,DP02,228269.06,7113,Chief Info Officer,Information Technology Services,Fulltime,Officials and administrators,M,White,1966,2009-01-05,Y,Davidson,2024,58,55-59,2009,15
2660,TG12,54118.08,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,Black,1953,2009-01-12,N,Davidson,2024,71,70-74,2009,15
2666,ST07,52324.33,10123,Office Support Spec 1,Trustee,Fulltime,Administrative support,M,White,1966,2009-01-26,N,Davidson,2024,58,55-59,2009,15
2669,NS,66462.0,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,Black,1965,2009-02-01,N,Davidson,2024,59,55-59,2009,15
2670,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1983,2009-02-01,N,Davidson,2024,41,40-44,2009,15
2672,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1985,2009-02-16,N,Davidson,2024,39,35-39,2009,15
2675,PS06B,107297.93,7355,Police Lieutenant,Police,Fulltime,Professionals,M,Black,1981,2009-02-16,N,Davidson,2024,43,40-44,2009,15
2677,PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1969,2009-02-16,N,Davidson,2024,55,55-59,2009,15
2680,ST11,65458.76,11198,Short Term Rental Inspector,Codes Administration,Fulltime,Officials and administrators,M,White,1972,2009-04-13,Y,Davidson,2024,52,50-54,2009,15
2681,OR05,78611.27,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,White,1953,2009-04-18,N,Davidson,2024,71,70-74,2009,15
2688,MAC07C,57716.16,10798,PF& Comm Engagement Adv II-MAC,Metro Action Commission,Fulltime,Paraprofessionals,F,Black,1964,2009-05-04,N,Davidson,2024,60,60-64,2009,15
2691,ST07,52324.33,6880,Recreation Leader,Parks,Fulltime,Paraprofessionals,F,Black,1987,2009-05-22,N,Davidson,2024,37,35-39,2009,15
2694,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1981,2009-06-01,N,Davidson,2024,43,40-44,2009,15
2699,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1970,2009-06-01,N,Davidson,2024,54,50-54,2009,15
2701,OR03,57400.97,7380,Program Spec 3,Health,Fulltime,Professionals,F,Hispanic,1989,2009-07-25,N,Davidson,2024,35,35-39,2009,15
2703,OR12,131883.12,10867,Assistant Public Defender 4,Public Defender,Fulltime,Professionals,F,White,1984,2009-08-10,Y,Davidson,2024,40,40-44,2009,15
2706,OR01,53436.37,11249,Accounts Payable Specialist 1,Finance,Fulltime,Technicians,F,Black,1981,2009-08-24,N,Davidson,2024,43,40-44,2009,15
2707,OR07,99968.96,10760,Public Health Nurse 3,Health,Fulltime,Professionals,F,Two or more,1973,2009-09-14,Y,Davidson,2024,51,50-54,2009,15
2708,OR10,122394.33,6863,Planning Mgr 2,Historical Commission,Fulltime,Professionals,F,White,1964,2009-09-14,Y,Davidson,2024,60,60-64,2009,15
2710,MAC11A,65635.42,11129,Workforce Services Coordinator-MAC,Metro Action Commission,Fulltime,Professionals,M,White,1972,2009-09-28,N,Davidson,2024,52,50-54,2009,15
2711,OR09,122472.97,10744,Health Manager 3,Health,Fulltime,Officials and administrators,F,Black,1964,2009-09-30,Y,Davidson,2024,60,60-64,2009,15
2712,PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,Hispanic,1982,2009-10-01,N,Davidson,2024,42,40-44,2009,15
