Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
TG09,48883.54,10978,Utility Maintenance Tech Sr,Water Services,Fulltime,Technicians,M,Black,1966,2006-07-15,N,Davidson,2024,58,55-59,2006,18
PS05B,100637.29,7366,Police Sergeant,Police,Fulltime,Technicians,F,White,1981,2006-07-17,N,Robertson,2024,43,40-44,2006,18
NS,72000.0,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,F,Black,1972,2006-07-17,N,Robertson,2024,52,50-54,2006,18
ST06,50574.92,10757,Records Scanner-DCSO,Sheriff,Fulltime,Administrative support,M,White,1971,2006-07-24,N,Robertson,2024,53,50-54,2006,18
ST09,65588.44,11024,DCSO Releasing Officer,Sheriff,Fulltime,Administrative support,M,White,1980,2006-07-24,N,Rutherford,2024,44,40-44,2006,18
OR02,67556.11,6034,Program Coord,Sheriff,Fulltime,Professionals,M,White,1977,2006-07-24,N,Williamson,2024,47,45-49,2006,18
OR03,70979.6,7244,Admin Svcs Officer 3,Sheriff,Fulltime,Professionals,F,White,1978,2006-07-24,Y,Davidson,2024,46,45-49,2006,18
ST10,72445.0,11031,Housing Assignment Spec-DCSO,Sheriff,Fulltime,Professionals,M,White,1964,2006-07-24,N,Davidson,2024,60,60-64,2006,18
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1978,2006-07-24,N,Smith,2024,46,45-49,2006,18
OR11,111373.52,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,M,White,1981,2006-07-24,Y,Robertson,2024,43,40-44,2006,18
ST10,66873.03,6689,Sheriff Warrant Officer 1,Sheriff,Fulltime,Protective service workers,M,White,1985,2006-07-24,N,Cheatham,2024,39,35-39,2006,18
TS10,63197.77,11204,Water Services Maint Supv 1,Water Services,Fulltime,Technicians,M,White,1986,2006-07-31,Y,Davidson,2024,38,35-39,2006,18
ST09,58861.56,10103,Application Tech 3,General Services,Fulltime,Administrative support,M,Black,1962,2006-08-01,N,Davidson,2024,62,60-64,2006,18
NS,108280.42,2954,Machine Tech,Election Commission,Fulltime,Technicians,M,White,1985,2006-08-03,N,Bedford,2024,39,35-39,2006,18
OR08,95712.45,10108,Finance Admin,Finance,Fulltime,Officials and administrators,M,White,1970,2006-08-07,Y,Davidson,2024,54,50-54,2006,18
ST10,63158.39,7343,Paralegal,Law,Fulltime,Paraprofessionals,F,Black,1972,2006-08-07,N,Davidson,2024,52,50-54,2006,18
OR05,84931.81,10742,Health Manager 1,Health,Fulltime,Professionals,F,White,1983,2006-08-08,Y,Davidson,2024,41,40-44,2006,18
TS16,86832.15,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1964,2006-08-12,Y,Rutherford,2024,60,60-64,2006,18
ST09,57179.85,7732,Compliance Inspector 2,NDOT,Fulltime,Officials and administrators,M,White,1969,2006-08-14,N,Davidson,2024,55,55-59,2006,18
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1963,2006-08-16,N,Cheatham,2024,61,60-64,2006,18
FD05B,95417.67,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1982,2006-09-01,N,Williamson,2024,42,40-44,2006,18
FD07B,98449.8,7305,Fire Captain,Fire,Fulltime,Professionals,M,Asian,1976,2006-09-01,N,DeKalb,2024,48,45-49,2006,18
FD09A,109108.15,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1980,2006-09-01,Y,Sumner,2024,44,40-44,2006,18
FD05B,87320.68,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1982,2006-09-01,N,Rutherford,2024,42,40-44,2006,18
FD11B,132688.32,10712,Fire Commander,Fire,Fulltime,Officials and administrators,F,White,1980,2006-09-01,Y,Montgomery,2024,44,40-44,2006,18
FD05,82377.99,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1971,2006-09-01,N,Hickman,2024,53,50-54,2006,18
FD05A,90016.67,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1982,2006-09-01,N,Sumner,2024,42,40-44,2006,18
FD05,90016.65,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1964,2006-09-01,N,Wilson,2024,60,60-64,2006,18
FD05,84849.33,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1981,2006-09-01,N,Cheatham,2024,43,40-44,2006,18
FD05A,92717.17,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1973,2006-09-01,N,Dickson,2024,51,50-54,2006,18
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1980,2006-09-01,N,Robertson,2024,44,40-44,2006,18
FD07,84995.76,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1975,2006-09-01,N,Wilson,2024,49,45-49,2006,18
FD05,82377.99,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1980,2006-09-01,N,Rutherford,2024,44,40-44,2006,18
FD03A,78512.16,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1981,2006-09-01,N,Wilson,2024,43,40-44,2006,18
FD05,90016.65,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1965,2006-09-01,N,Williamson,2024,59,55-59,2006,18
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1984,2006-09-01,N,Sumner,2024,40,40-44,2006,18
OR09,113171.67,10999,Chief Deputy Clk-Admin,County Clerk,Fulltime,Officials and administrators,M,White,1972,2006-09-01,N,Davidson,2024,52,50-54,2006,18
ST08,49349.63,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,Black,1987,2006-09-04,N,Davidson,2024,37,35-39,2006,18
MAC06B,55417.32,10235,Headstart Teacher 1,Metro Action Commission,Fulltime,Professionals,F,Black,1986,2006-09-11,N,Davidson,2024,38,35-39,2006,18
FD09,99849.4,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1975,2006-09-16,Y,Wilson,2024,49,45-49,2006,18
FD05,90016.65,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1976,2006-09-16,N,Wilson,2024,48,45-49,2006,18
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2006-09-16,N,Wilson,2024,41,40-44,2006,18
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1970,2006-09-16,N,Maury,2024,54,50-54,2006,18
OR01,30027.88,7243,Admin Svcs Officer 2,Police,Parttime,Professionals,F,White,1954,2006-09-16,N,Davidson,2024,70,70-74,2006,18
FD05A,84849.35,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1976,2006-09-16,N,Sumner,2024,48,45-49,2006,18
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1973,2006-09-16,N,Cheatham,2024,51,50-54,2006,18
FD05,90016.65,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1976,2006-09-16,N,Davidson,2024,48,45-49,2006,18
OR10,130293.45,6232,Finance Mgr,Finance,Fulltime,Officials and administrators,F,White,1965,2006-09-18,Y,Wilson,2024,59,55-59,2006,18
OR08,95554.78,10108,Finance Admin,Human Resources,Fulltime,Officials and administrators,F,Black,1981,2006-09-18,Y,Davidson,2024,43,40-44,2006,18
TG09,48883.54,10978,Utility Maintenance Tech Sr,Water Services,Fulltime,Technicians,M,Black,1974,2006-09-23,N,Davidson,2024,50,50-54,2006,18
OR10,121831.26,6606,Engineer 3,Water Services,Fulltime,Professionals,F,Black,1977,2006-09-23,Y,Williamson,2024,47,45-49,2006,18
PS07B,123392.62,956,Police Captain,Police,Fulltime,Professionals,M,Black,1983,2006-09-25,N,Davidson,2024,41,40-44,2006,18
MAC10B,67591.87,10203,Finance Officer 2,Metro Action Commission,Fulltime,Professionals,F,Black,1976,2006-09-25,N,Davidson,2024,48,45-49,2006,18
OR07,80886.22,7242,Admin Svcs Mgr,Juvenile Court Clerk,Fulltime,Officials and administrators,F,White,1973,2006-09-25,Y,Dickson,2024,51,50-54,2006,18
ST08,49349.63,7419,Warrant Officer 1,Circuit Court Clerk,Fulltime,Protective service workers,F,White,1953,2006-09-25,N,Davidson,2024,71,70-74,2006,18
OR07,83234.68,7242,Admin Svcs Mgr,Sheriff,Fulltime,Officials and administrators,F,White,1973,2006-10-01,Y,Davidson,2024,51,50-54,2006,18
OR03,72445.0,7244,Admin Svcs Officer 3,Emergency Communications,Fulltime,Professionals,F,Black,1965,2006-10-09,N,Rutherford,2024,59,55-59,2006,18
OR06,77868.29,11178,Finance Officer Senior,Social Services,Fulltime,Professionals,F,Black,1962,2006-10-10,N,Davidson,2024,62,60-64,2006,18
ST10,72445.0,10723,Crime Lab Forensic Technician,Police,Fulltime,Professionals,F,White,1982,2006-10-16,N,Smith,2024,42,40-44,2006,18
TG12,54118.08,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,Black,1964,2006-10-23,N,Davidson,2024,60,60-64,2006,18
OR11,122062.49,10887,Information Systems Advisor 3,Justice Integration Services,Fulltime,Officials and administrators,M,White,1969,2006-10-23,Y,Rutherford,2024,55,55-59,2006,18
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1972,2006-11-01,N,Rutherford,2024,52,50-54,2006,18
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Native,1981,2006-11-01,N,Robertson,2024,43,40-44,2006,18
TL09,53706.1,10972,Utility Maintenance Spec 1,Water Services,Fulltime,Technicians,M,White,1967,2006-11-06,N,Rutherford,2024,57,55-59,2006,18
OR11,111373.52,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,M,White,1981,2006-11-13,Y,Bedford,2024,43,40-44,2006,18
OR01,51700.0,7243,Admin Svcs Officer 2,Juvenile Court,Fulltime,Professionals,F,White,1968,2006-11-13,N,Davidson,2024,56,55-59,2006,18
OR11,111373.52,10752,Facility Admin-DCSO,Sheriff,Fulltime,Officials and administrators,M,Asian,1964,2006-11-13,Y,Davidson,2024,60,60-64,2006,18
MAC09C,65317.57,10769,Adult Ed Coord-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1956,2006-11-13,Y,Davidson,2024,68,65-69,2006,18
ST10,66873.03,6689,Sheriff Warrant Officer 1,Sheriff,Fulltime,Protective service workers,M,White,1985,2006-11-13,N,Coffee,2024,39,35-39,2006,18
ST10,66873.03,6689,Sheriff Warrant Officer 1,Sheriff,Fulltime,Protective service workers,M,White,1985,2006-11-13,N,Sumner,2024,39,35-39,2006,18
OR08,96418.7,7346,Human Resources Admin,Human Resources,Fulltime,Professionals,M,Black,1977,2006-11-20,Y,Davidson,2024,47,45-49,2006,18
TG09,48883.54,10849,Maintenance & Repair Worker Se,Public Library,Fulltime,Service/Maintenance,M,White,1984,2006-11-20,N,Davidson,2024,40,40-44,2006,18
NS,,9108,Sports Official,Parks,Pool,Service/Maintenance,M,Black,1965,2006-11-24,N,Rutherford,2024,59,55-59,2006,18
MAC01,43063.49,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1982,2006-11-27,N,Davidson,2024,42,40-44,2006,18
OR07,96191.0,6247,Parks & Recreation Supt,Parks,Fulltime,Officials and administrators,F,Black,1972,2006-12-01,Y,Rutherford,2024,52,50-54,2006,18
OR11,132215.53,10354,Exe Administrator Police/Fire,Police,Fulltime,Officials and administrators,F,White,1963,2006-12-01,Y,Davidson,2024,61,60-64,2006,18
OR03,64087.06,7785,Info Systems App Tech 2,Police,Fulltime,Technicians,M,White,1975,2006-12-04,N,Davidson,2024,49,45-49,2006,18
OR10,109305.5,6232,Finance Mgr,Emergency Communications,Fulltime,Officials and administrators,M,Black,1980,2006-12-04,Y,Rutherford,2024,44,40-44,2006,18
OR08,96662.35,7234,Information Systems Advisor 1,Information Technology Services,Fulltime,Officials and administrators,M,White,1982,2006-12-07,Y,Rutherford,2024,42,40-44,2006,18
OR07,96822.29,1120,Probation Officer Chief,Juvenile Court,Fulltime,Officials and administrators,F,White,1974,2006-12-11,Y,Wilson,2024,50,50-54,2006,18
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1984,2006-12-16,N,Sumner,2024,40,40-44,2006,18
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1974,2006-12-16,N,Davidson,2024,50,50-54,2006,18
OR08,92939.69,7234,Information Systems Advisor 1,Emergency Communications,Fulltime,Officials and administrators,F,Black,1964,2006-12-18,Y,Davidson,2024,60,60-64,2006,18
OR05,79834.33,7245,Admin Svcs Officer 4,NDOT,Fulltime,Professionals,F,White,1982,2006-12-18,Y,Cheatham,2024,42,40-44,2006,18
NS,52807.95,7379,Program Spec 2,State Trial Courts,Fulltime,Professionals,F,White,1983,2006-12-20,N,Robertson,2024,41,40-44,2006,18
NS,,9108,Sports Official,Parks,Pool,Service/Maintenance,M,White,1966,2006-12-29,N,Williamson,2024,58,55-59,2006,18
OR11,129970.63,6559,Judicial Commissioner,General Sessions Court,Fulltime,Officials and administrators,M,White,1971,2007-01-01,Y,Davidson,2024,53,50-54,2007,17
ST10,59443.75,7323,Librarian 2,Public Library,Fulltime,Professionals,F,Black,1986,2007-01-01,Y,Davidson,2024,38,35-39,2007,17
OR05,81027.81,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,F,White,1980,2007-01-01,N,Davidson,2024,44,40-44,2007,17
OR03,67426.15,4710,Probation Officer 2,Juvenile Court,Fulltime,Professionals,F,White,1978,2007-01-02,N,Davidson,2024,46,45-49,2007,17
OR06,76936.23,10992,Utility Water Qual Analyst 3,Water Services,Fulltime,Professionals,M,White,1979,2007-01-02,Y,Dickson,2024,45,45-49,2007,17
OR08,93761.86,10108,Finance Admin,State Fair Board,Fulltime,Officials and administrators,F,Black,1982,2007-01-03,Y,Davidson,2024,42,40-44,2007,17
OR03,72445.0,7244,Admin Svcs Officer 3,General Services,Fulltime,Professionals,F,White,1985,2007-01-03,N,Sumner,2024,39,35-39,2007,17
NS,55001.61,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,F,White,1986,2007-01-08,N,Davidson,2024,38,35-39,2007,17
LP01,16505.21,5070,Library Page,Public Library,Parttime,Paraprofessionals,M,Black,1967,2007-01-15,N,Wilson,2024,57,55-59,2007,17
ST08,52433.92,11179,Fire Logistics & Inventory Clerk,Fire,Fulltime,Administrative support,M,White,1959,2007-01-16,N,Davidson,2024,65,65-69,2007,17
OR06,83412.51,7296,Engineer In Training,Water Services,Fulltime,Professionals,M,White,1976,2007-01-27,Y,Dickson,2024,48,45-49,2007,17
OR07,104852.59,4855,Library Mgr 3,Public Library,Fulltime,Professionals,M,White,1977,2007-01-29,Y,Davidson,2024,47,45-49,2007,17
ST11,69548.92,10941,Utiltiy Compliance Inspector 3,Water Services,Fulltime,Technicians,M,White,1988,2007-01-29,N,Robertson,2024,36,35-39,2007,17
TL13,65864.67,10974,Utility Maintenance Spec 3,Water Services,Fulltime,Technicians,M,White,1988,2007-01-29,N,Robertson,2024,36,35-39,2007,17
TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1970,2007-01-29,N,Davidson,2024,54,50-54,2007,17
OR01,51918.76,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1954,2007-01-29,N,Davidson,2024,70,70-74,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2007-02-01,N,Davidson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2007-02-01,N,Sumner,2024,42,40-44,2007,17
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1975,2007-02-01,N,Davidson,2024,49,45-49,2007,17
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,Black,1983,2007-02-01,N,Maury,2024,41,40-44,2007,17
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,M,Black,1943,2007-02-01,N,Davidson,2024,81,80-84,2007,17
PS05,97789.07,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1982,2007-02-01,N,Robertson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1965,2007-02-01,N,Davidson,2024,59,55-59,2007,17
PS05B,106766.1,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1979,2007-02-01,N,Robertson,2024,45,45-49,2007,17
OR12,139272.98,10871,Assistant Metropolitan Atty 4,Law,Fulltime,Professionals,M,White,1971,2007-02-05,Y,Davidson,2024,53,50-54,2007,17
ST09,65588.44,11222,DCSO SAAFE Coordinator,Sheriff,Fulltime,Administrative support,M,Black,1980,2007-02-05,N,Davidson,2024,44,40-44,2007,17
ST09,60543.28,7241,Admin Asst,Sheriff,Fulltime,Administrative support,F,White,1963,2007-02-20,N,Rutherford,2024,61,60-64,2007,17
OR01,59820.63,7243,Admin Svcs Officer 2,Circuit Court Clerk,Fulltime,Professionals,F,Black,1956,2007-02-26,N,Davidson,2024,68,65-69,2007,17
ST11,69548.92,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
ST10,66873.03,6689,Sheriff Warrant Officer 1,Sheriff,Fulltime,Protective service workers,M,White,1982,2007-03-01,N,Davidson,2024,42,40-44,2007,17
PS05B,100637.29,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1979,2007-03-01,N,Cannon,2024,45,45-49,2007,17
NS,,9108,Sports Official,Parks,Pool,Service/Maintenance,M,Black,1956,2007-03-07,N,Davidson,2024,68,65-69,2007,17
TG12,52541.83,10966,Utility Equip Operator Sr,Water Services,Fulltime,Technicians,M,White,1965,2007-03-12,N,Sumner,2024,59,55-59,2007,17
TS10,61357.06,7327,Maint & Repair Supv,Parks,Fulltime,Service/Maintenance,M,Black,1972,2007-03-14,Y,Davidson,2024,52,50-54,2007,17
OR11,174698.92,10354,Exe Administrator Police/Fire,Police,Fulltime,Officials and administrators,F,White,1956,2007-03-16,Y,Sumner,2024,68,65-69,2007,17
PS07B,130907.23,956,Police Captain,Police,Fulltime,Professionals,M,White,1985,2007-03-16,Y,Davidson,2024,39,35-39,2007,17
TL14,64516.04,6178,Indust Mechanic 2,Water Services,Fulltime,Skilled craft workers,M,White,1988,2007-03-24,N,Sumner,2024,36,35-39,2007,17
OR07,87751.76,7242,Admin Svcs Mgr,Sheriff,Fulltime,Officials and administrators,F,White,1977,2007-03-27,Y,Robertson,2024,47,45-49,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1980,2007-04-01,N,Wilson,2024,44,40-44,2007,17
PS05B,97706.11,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1982,2007-04-01,N,Williamson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1982,2007-04-01,N,Wilson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1978,2007-04-01,N,Sumner,2024,46,45-49,2007,17
TG09,47459.75,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1962,2007-04-06,N,Davidson,2024,62,60-64,2007,17
ST11,71593.99,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,M,White,1973,2007-04-07,Y,Sumner,2024,51,50-54,2007,17
TS16,84303.05,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,Black,1984,2007-04-07,Y,Davidson,2024,40,40-44,2007,17
TG14,60282.37,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1980,2007-04-07,N,Davidson,2024,44,40-44,2007,17
TG14,60282.37,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,Black,1975,2007-04-07,N,Davidson,2024,49,45-49,2007,17
TL11,57188.82,10973,Utility Maintenance Spec 2,Water Services,Fulltime,Technicians,M,White,1966,2007-04-07,N,Davidson,2024,58,55-59,2007,17
TS13,73089.79,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,M,White,1984,2007-04-07,N,Sumner,2024,40,40-44,2007,17
TG14,60282.37,6186,Treatment Plant Tech 2,Water Services,Fulltime,Skilled craft workers,M,White,1986,2007-04-07,N,Robertson,2024,38,35-39,2007,17
ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,White,1962,2007-04-07,Y,Rutherford,2024,62,60-64,2007,17
TS13,75282.48,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,M,White,1986,2007-04-07,N,Cheatham,2024,38,35-39,2007,17
ST11,77729.23,10804,DCSO Instructor,Sheriff,Fulltime,Professionals,M,Black,1971,2007-04-09,N,Davidson,2024,53,50-54,2007,17
ST07,53738.45,2870,Legal Secretary 1,District Attorney,Fulltime,Administrative support,F,Black,1970,2007-04-09,N,Davidson,2024,54,50-54,2007,17
TS15,76861.1,1920,Equip Shop Supv,General Services,Fulltime,Skilled craft workers,M,White,1969,2007-04-09,Y,Rutherford,2024,55,55-59,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1983,2007-04-16,N,Robertson,2024,41,40-44,2007,17
PS04,87027.65,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,M,White,1984,2007-04-16,N,Wilson,2024,40,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1969,2007-04-16,N,Davidson,2024,55,55-59,2007,17
PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1982,2007-04-16,N,Robertson,2024,42,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1978,2007-04-16,N,Smith,2024,46,45-49,2007,17
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1981,2007-04-16,N,Sumner,2024,43,40-44,2007,17
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1971,2007-04-16,N,Sumner,2024,53,50-54,2007,17
PS05B,94860.3,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1980,2007-04-16,N,Robertson,2024,44,40-44,2007,17
PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1978,2007-04-16,N,Davidson,2024,46,45-49,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1973,2007-04-16,N,Rutherford,2024,51,50-54,2007,17
OR03,67419.24,4710,Probation Officer 2,Juvenile Court,Fulltime,Professionals,M,Black,1972,2007-04-16,N,Davidson,2024,52,50-54,2007,17
OR05,76061.46,6233,Cust Svc Asst Mgr,Juvenile Court Clerk,Fulltime,Professionals,F,White,1976,2007-04-16,Y,Robertson,2024,48,45-49,2007,17
PS06B,110516.87,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1984,2007-04-16,N,Davidson,2024,40,40-44,2007,17
TS10,69057.91,11204,Water Services Maint Supv 1,Water Services,Fulltime,Technicians,M,Black,1980,2007-04-23,Y,Davidson,2024,44,40-44,2007,17
PS06A,107389.03,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1986,2007-05-01,N,Cheatham,2024,38,35-39,2007,17
ST07,50910.18,7365,Police Operations Coord 1,Police,Fulltime,Administrative support,F,White,1976,2007-05-01,N,Robertson,2024,48,45-49,2007,17
ST11,63413.67,7720,Admin Spec,Police,Fulltime,Administrative support,M,Black,1971,2007-05-01,N,Rutherford,2024,53,50-54,2007,17
ST05,31215.5,11035,Concessions Clerk,Parks,Parttime,Administrative support,M,White,1951,2007-05-05,N,Williamson,2024,73,70-74,2007,17
OR09,122684.53,7175,Behavioral Hlth Svcs Mgr,Police,Fulltime,Professionals,M,White,1965,2007-05-16,Y,Wilson,2024,59,55-59,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2007-05-21,N,Robertson,2024,40,40-44,2007,17
CA08,93308.8,7271,Cvn Ctr Event Mgr Sr,Convention Center Authority,Fulltime,Professionals,F,White,1979,2007-05-23,Y,Davidson,2024,45,45-49,2007,17
OR02,57214.61,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1986,2007-05-25,Y,Davidson,2024,38,35-39,2007,17
PS05,92175.57,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1981,2007-06-01,N,Davidson,2024,43,40-44,2007,17
PS05B,103656.41,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1983,2007-06-01,N,Wilson,2024,41,40-44,2007,17
OR02,67556.11,6034,Program Coord,Sheriff,Fulltime,Professionals,M,White,1953,2007-06-04,N,Benton,2024,71,70-74,2007,17
OR04,69920.38,11215,Enviromental Health Specialist Sr,Health,Fulltime,Professionals,M,White,1983,2007-06-11,N,Davidson,2024,41,40-44,2007,17
ST09,53816.4,451,Golf Course Asst Mgr,Parks,Fulltime,Professionals,F,Black,1987,2007-06-15,Y,Davidson,2024,37,35-39,2007,17
TL17,74320.5,7787,Indust Tech Master,Water Services,Fulltime,Skilled craft workers,M,White,1979,2007-06-16,N,Cheatham,2024,45,45-49,2007,17
OR07,105605.01,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1967,2007-06-18,Y,Davidson,2024,57,55-59,2007,17
OR02,55463.79,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1962,2007-06-22,Y,Davidson,2024,62,60-64,2007,17
CO02,65015.7,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1961,2007-06-28,N,Davidson,2024,63,60-64,2007,17
OR04,69868.84,11177,Finance Officer,Health,Fulltime,Professionals,M,Black,1968,2007-06-30,N,Davidson,2024,56,55-59,2007,17
OR02,67556.11,3237,Nutritionist 1,Health,Fulltime,Professionals,F,White,1959,2007-06-30,Y,Davidson,2024,65,65-69,2007,17
PS05B,109969.08,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1970,2007-07-01,N,Robertson,2024,54,50-54,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1973,2007-07-01,N,Wilson,2024,51,50-54,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1968,2007-07-01,N,Wilson,2024,56,55-59,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1977,2007-07-01,N,Wilson,2024,47,45-49,2007,17
FD06A,95359.18,10839,Fire Arson Investigator,Fire,Fulltime,Officials and administrators,M,White,1981,2007-07-01,N,Davidson,2024,43,40-44,2007,17
PS07B,127094.4,956,Police Captain,Police,Fulltime,Professionals,M,Black,1974,2007-07-01,Y,Wilson,2024,50,50-54,2007,17
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1980,2007-07-01,N,Davidson,2024,44,40-44,2007,17
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1984,2007-07-01,N,Maury,2024,40,40-44,2007,17
PS06B,117247.35,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1978,2007-07-01,N,Sumner,2024,46,45-49,2007,17
